name	category
beata kempa	politycy
beata bublewicz	politycy
bartosz kownacki	prawnicy
bogdan borkowski	prawnicy
bogdan borusewicz	politycy
bertold kittel	dziennikarze
beverly hills	aktorzy
bernard ładysz	muzycy
beata szydło	politycy
bogdan klich	dziennikarze
bogdan sawicki	prawnicy
bogdan zdrojewski	politycy
bogusław szwedo	dziennikarze
bogusław linda	aktorzy
bogusław wontor	politycy
bogusław chrabota	dziennikarze
bogumiła berdychowska	dziennikarze
bronisław wildstein	dziennikarze
bolesław piecha	politycy
bohdan józef paszkowski	prawnicy
bolesław bierut	politycy
brygida grysiak	dziennikarze
bruno schulz	malarze
cezary kucharski	sportowcy
cezary gmyz	dziennikarze
celestino migliore	duchowni
cezary szczylik	lekarze
cezary pazura	aktorzy
christopher stevens	muzycy
chuck hagel	politycy
christian zacharias	muzycy
christopher booker	dziennikarze
catherine deneuve	aktorzy
colette avital	politycy
connie hedegaard	politycy
colin russell	sportowcy
cristiano ronaldo	sportowcy
cornelius gurlitt	muzycy
damian marley	muzycy
czesław bielecki	politycy
czesław fiedorowicz	politycy
czesław kiszczak	politycy
damien hirst	malarze
daniel bahr	politycy
daniel olbrychski	aktorzy
daniel passent	dziennikarze
david mclean	aktorzy
daniel sandford	duchowni
david satter	dziennikarze
dariusz rosiak	dziennikarze
danuta pietraszewska	politycy
dariusz malejonek	muzycy
dariusz szwed	politycy
dariusz wilczak	dziennikarze
dave phillips	sportowcy
desmond tutu	duchowni
dawid jackiewicz	politycy
dilma rousseff	politycy
diarmuid martin	duchowni
domicela kopaczewska	politycy
dorota rabczewska	muzycy
donald tusk	politycy
dominika wielowieyska	dziennikarze
dominik duka	duchowni
dorota segda	aktorzy
dorota miśkiewicz	muzycy
dorota kania	dziennikarze
dorota wellman	dziennikarze
edi rama	politycy
edgar miller	sportowcy
edward czesak	politycy
edward stachura	poeci
edward ozorowski	duchowni
eleonora zielińska	prawnicy
ehud olmert	politycy
edward śmigły-rydz	malarze
edward siarka	politycy
edyta górniak	muzycy
eine bom­be­ni­dee	ame=
elżbieta jaworowicz	dziennikarze
eugeniusz eibisch	malarze
elmar brok	politycy
elżbieta kępińska	aktorzy
esther de lange	politycy
enrico letta	politycy
erika steinbach	politycy
elżbieta witek	politycy
eryk mistewicz	dziennikarze
eric holder	prawnicy
eugeniusz grzeszczak	politycy
eugeniusz kwiatkowski	politycy
eugeniusz smolar	dziennikarze
evo morales	politycy
ewa lipska	poeci
ewa wójciak	aktorzy
ewa stankiewicz	dziennikarze
ewa malik	politycy
ewa polkowska	prawnicy
fabio capello	sportowcy
ewa wanat	dziennikarze
ewa urbańska	dziennikarze
ferdynand rymarz	prawnicy
fernando filoni	duchowni
fernando hidalgo	sportowcy
florian siwicki	politycy
filip kaczmarek	politycy
giuseppe bertello	duchowni
franciszek smuda	sportowcy
franciszek macharski	duchowni
franciszek stefaniuk	politycy
giuseppe betori	duchowni
gabriela masłowska	politycy
gerald fitzgerald	duchowni
glenn mulcaire	sportowcy
glyn davies	politycy
glenn smith	sportowcy
grażyna torbicka	aktorzy
grzegorz górny	dziennikarze
grzegorz ilka	dziennikarze
grzegorz miecugow	dziennikarze
grzegorz kaliciak	sportowcy
grzegorz janik	politycy
grzegorz miśkiewicz	muzycy
grzegorz mróz	sportowcy
grzegorz napieralski	politycy
grzegorz nowak	muzycy
grzegorz wójcik	duchowni
grzegorz ryś	duchowni
grzegorz piotrowski	muzycy
grzegorz przemyk	poeci
guy kawasaki	duchowni
grzegorz tobiszowski	politycy
grzegorz strzelczyk	duchowni
grzegorz schetyna	politycy
grzegorz turnau	muzycy
halina mikołajska	aktorzy
hanna gronkiewicz-waltz	politycy
halina mlynkova	muzycy
henryk samsonowicz	politycy
hanna zdanowska	politycy
hanna suchocka	politycy
hatif janabi	poeci
henry kissinger	politycy
henri matisse	malarze
henryk gulbinowicz	duchowni
heliodor święcicki	lekarze
henryk skarżyński	lekarze
henryk smolarz	politycy
henryk tomasik	duchowni
henryk wujec	politycy
izabela kloc	politycy
ignacy dec	duchowni
ignacy hryniewiecki	politycy
ignacy mościcki	politycy
jacek bukowski	poeci
irena lipowicz	politycy
ireneusz raś	politycy
isaac herzog	politycy
ignazio marino	lekarze
jacek dubois	prawnicy
jacek jezierski	duchowni
jacek fedorowicz	aktorzy
jacek markiewicz	sportowcy
jacek prusak	dziennikarze
jacek kurski	politycy
jacek soska	politycy
jacek staniszewski	malarze
jacek malczewski	malarze
jacek majchrowski	politycy
jacek merkel	politycy
jacek paszkiewicz	lekarze
jacek tomczak	politycy
jacek wasilewski	dziennikarze
jacek wojciechowicz	politycy
jadwiga wiśniewska	politycy
jadwiga zakrzewska	politycy
jacek łęski	dziennikarze
jakub badach	muzycy
jakub pokorski	muzycy
jakub rzeźniczak	sportowcy
jakub błaszczykowski	sportowcy
jakub berman	politycy
jakub janiszewski	dziennikarze
jakub sobieniowski	dziennikarze
jakub szulc	politycy
jakub strzyczkowski	dziennikarze
james powell	sportowcy
james evans	sportowcy
james blunt	muzycy
james lee	sportowcy
jan cieński	duchowni
jan bednarek	politycy
jan bury	politycy
jan borysewicz	muzycy
jan czajkowski	prawnicy
jan filip libicki	politycy
jan matejko	malarze
jan kozłowski	politycy
jan englert	aktorzy
jan krzysztof bielecki	politycy
jan lityński	politycy
jan kochanowski	poeci
jan maria jackowski	politycy
jan lebenstein	malarze
jan nowak-jeziorański	dziennikarze
jan ozga	duchowni
jan pietrzak	aktorzy
jan ołdakowski	politycy
jan rulewski	politycy
jan sehn	prawnicy
jan sawka	malarze
jan stanisław jankowski	politycy
jan tarnowski	politycy
jan szyszko	politycy
jan strękowski	dziennikarze
jan tomaszewski	sportowcy
jan tyrawa	duchowni
janusz korczak	lekarze
janusz wójcik	politycy
janusz śniadek	politycy
janusz meder	lekarze
janusz korwin-mikke	politycy
janusz lewandowski	politycy
jan widacki	prawnicy
janusz moryś	lekarze
janusz skolimowski	prawnicy
janusz palikot	politycy
janusz wojciechowski	politycy
jan wróbel	dziennikarze
jan śliwiński	duchowni
jarosław gowin	politycy
jarosław duda	politycy
jarosław jagiełło	politycy
jarosław lasecki	politycy
jarosław kuźniar	dziennikarze
jason anderson	sportowcy
jarosław zieliński	politycy
jarosław wałęsa	politycy
jarosław zabiega	dziennikarze
jarosław ziętara	dziennikarze
javier espinosa	sportowcy
javier solana	politycy
jerzy buzek	politycy
jean-marie dedecker	politycy
jean-claude trichet	politycy
jean-marie le pen	politycy
jerzy dobrowolski	aktorzy
jeff hanneman	muzycy
jerzy budnik	politycy
jeffrey gedmin	dziennikarze
jeremi wiśniowiecki	politycy
jerzy giedroyc	dziennikarze
jerzy hausner	politycy
jerzy kozdroń	politycy
jerzy różycki	muzycy
jerzy nowak	aktorzy
jerzy mierzejewski	malarze
jerzy nowosielski	malarze
jerzy regulski	politycy
jerzy polaczek	politycy
jerzy popiełuszko	duchowni
jerzy owsiak	dziennikarze
jerzy osiatyński	politycy
jerzy stuhr	aktorzy
jerzy stępień	politycy
jerzy synowiec	politycy
jerzy szmajdziński	politycy
jerzy targalski	dziennikarze
jerzy wenderlich	politycy
joanna blythman	dziennikarze
joachim meisner	duchowni
jerzy zimowski	prawnicy
jim roberts	sportowcy
jiang zemin	politycy
joachim brudziński	politycy
joanna fabisiak	politycy
joanna kluzik-rostkowska	politycy
joanna mucha	politycy
joanna roszak	poeci
joanna senyszyn	politycy
joanna szczepkowska	aktorzy
joe garcia	prawnicy
joe berry	sportowcy
john dalli	politycy
john keats	poeci
john mccain	politycy
john boehner	politycy
joe mather	sportowcy
john onaiyekan	duchowni
jolanta kwaśniewska	dziennikarze
justin bieber	muzycy
joschka fischer	politycy
jolanta szczypińska	politycy
justyna kowalczyk	sportowcy
joseph goebbels	politycy
julian assange	dziennikarze
juliusz paetz	duchowni
juliusz braun	politycy
julia pitera	politycy
józef bąk	politycy
józef beck	politycy
józef cyrankiewicz	politycy
józef glemp	duchowni
józef elsner	muzycy
józef mozolewski	politycy
józef kloch	dziennikarze
józef mackiewicz	dziennikarze
józef komarewicz	poeci
józef guzdek	duchowni
józef kupny	duchowni
józef musioł	prawnicy
józef wesołowski	duchowni
józef zych	politycy
józef piłsudski	politycy
karolina gruszka	aktorzy
karolina wigura	dziennikarze
józef pinior	politycy
józef oleksy	politycy
kamil kuskowski	malarze
józef szewczyk	sportowcy
karol irzykowski	poeci
kamil durczok	dziennikarze
karol karski	politycy
karol popiel	politycy
kathleen sebelius	politycy
katarzyna janowska	dziennikarze
karol modzelewski	politycy
katarzyna kozłowska	dziennikarze
katarzyna piekarska	politycy
katarzyna kwiatkowska	aktorzy
katarzyna hall	politycy
katarzyna nosowska	muzycy
karol świerczewski	politycy
kazimierz deyna	sportowcy
kazimierz górski	sportowcy
kazimierz kleina	politycy
kazimierz kowalski	duchowni
kinga dunin	politycy
kazimierz plocke	politycy
kazimierz michał ujazdowski	politycy
kazimierz ryczan	duchowni
kazimierz sosnkowski	politycy
kazimierz kutz	politycy
konrad krajewski	duchowni
konstanty gebert	dziennikarze
kazimierz wóycicki	dziennikarze
konstanty radziwiłł	lekarze
krzysztof cugowski	muzycy
kosma złotowski	politycy
krystyna szumilas	politycy
krystyna kwiatkowska	muzycy
krzysztof feusette	dziennikarze
krystyna ozga	politycy
krzysztof bosak	politycy
krystyna łybacka	politycy
krzysztof brejza	politycy
krzysztof buczkowski	sportowcy
krzysztof janik	politycy
krzysztof jackowski	malarze
krzysztof jurgiel	politycy
krzysztof kozłowski	politycy
krzysztof karasek	poeci
krzysztof kazimierczak	sportowcy
krzysztof michalski	dziennikarze
krzysztof liedel	prawnicy
krzysztof lisek	politycy
krzysztof luft	aktorzy
krzysztof lisowski	poeci
krzysztof nowacki	sportowcy
krzysztof penderecki	muzycy
lech łotocki	aktorzy
krzysztof skowroński	dziennikarze
krzysztof piesiewicz	prawnicy
lena kolarska-bobińska	dziennikarze
larry klayman	prawnicy
krzysztof trawicki	politycy
lech gardocki	prawnicy
krzysztof żurek	aktorzy
krzysztof skubiszewski	politycy
leszek balcerowicz	politycy
leszek budrewicz	dziennikarze
leszek miller	politycy
ludwik zamenhof	lekarze
maciej bednarkiewicz	prawnicy
lidia staroń	politycy
maciej rataj	politycy
maciej płażyński	prawnicy
maciej grabowski	politycy
maciej kujawski	aktorzy
maciej bielawski	malarze
maciej stuhr	aktorzy
maciej szczęsny	sportowcy
maciej wierzyński	dziennikarze
maciej topolski	malarze
maciej zaremba	dziennikarze
maciej zalewski	politycy
maciej zientarski	dziennikarze
magdalena środa	politycy
marcin dorociński	aktorzy
marcin hycnar	aktorzy
magdalena grzybowska	sportowcy
maja ostaszewska	aktorzy
magdalena kochan	politycy
marcin korolec	prawnicy
marcin lewandowski	sportowcy
marcin meller	dziennikarze
marcin pawłowski	dziennikarze
marcin przeciszewski	dziennikarze
marek bukowski	aktorzy
marek borowski	politycy
marek bieńkowski	poeci
marcin wojcieszak	prawnicy
marek belka	politycy
marek biernacki	politycy
marcin wrona	dziennikarze
marek jackowski	muzycy
marek jędraszewski	duchowni
marek gancarczyk	sportowcy
marek michalak	muzycy
marek mendyk	duchowni
marek kuchciński	politycy
marek migalski	politycy
marek siwiec	politycy
marek sobczyk	malarze
marek rocki	politycy
marek opioła	politycy
marek sawicki	politycy
marek suski	politycy
marek wójcik	politycy
margaret chan	lekarze
marian gołębiewski	duchowni
margaret thatcher	prawnicy
margaret atwood	poeci
maria nowak	politycy
maria konopnicka	poeci
marian cichosz	politycy
marian florczyk	duchowni
maria dłużewska	aktorzy
marian filar	muzycy
marian rojek	duchowni
maria szyszkowska	politycy
maria wiernikowska	dziennikarze
matthew perry	aktorzy
mark elliot	aktorzy
marisol touraine	politycy
marieluise beck	politycy
mariusz błaszczak	politycy
mayumi yoshida	aktorzy
mark kirk	politycy
marzena wróbel	politycy
matce jasnogórskiej	ame=
małgorzata fuszara	prawnicy
małgorzata gosiewska	politycy
małgorzata handzlik	politycy
małgorzata sadurska	politycy
małgorzata kidawa-błońska	politycy
michael foot	dziennikarze
małgorzata sekuła-szmajdzińska	prawnicy
małgorzata strzałkowska	poeci
małgorzata tkacz-janik	politycy
mia farrow	aktorzy
michael anti	dziennikarze
michael bloomberg	politycy
michał kulesza	malarze
michael fuchs	sportowcy
michał lewandowski	aktorzy
michael peters	aktorzy
michał adamczyk	dziennikarze
michael landau	muzycy
michał czajkowski	poeci
michał kamiński	politycy
michał kowalczyk	politycy
michał boni	politycy
michał olszański	dziennikarze
michał seweryński	politycy
michelle bachelet	lekarze
mieczysław mokrzycki	duchowni
mieczysław gil	politycy
mieczysław kościelniak	malarze
mieczysław golba	politycy
mieczysław czechowicz	aktorzy
mieczysław pszon	dziennikarze
mieczysław tarnowski	politycy
mieczysław jagielski	politycy
michał wiśniewski	muzycy
mieczysław kasprzak	politycy
mieczysław żywczyński	duchowni
mikołaj górecki	muzycy
najat vallaud-belkacem	politycy
mirosław baka	aktorzy
mikołaj kozakiewicz	politycy
natalia kukulska	muzycy
muammer güler	politycy
monika olejnik	dziennikarze
mikołaj dowgielewicz	politycy
mikuláš dzurinda	politycy
mirosław pawlak	politycy
natalia partyka	sportowcy
neville thurlbeck	dziennikarze
olga jackowska	muzycy
paul allen	sportowcy
olga tokarczuk	politycy
paweł graś	politycy
paul krugman	dziennikarze
paul walker	aktorzy
paweł adamowicz	politycy
paweł goźliński	dziennikarze
paweł biedziak	dziennikarze
paweł fąfara	dziennikarze
paweł jakubiak	sportowcy
paweł jankiewicz	politycy
paweł kowal	politycy
paweł lisicki	dziennikarze
paweł olszewski	politycy
pekka puska	lekarze
philippe barbarin	duchowni
paweł poncyljusz	politycy
paweł śpiewak	politycy
paweł piskorski	politycy
paweł zalewski	politycy
paweł wimmer	dziennikarze
philippe mahoux	politycy
piotr domaradzki	dziennikarze
piotr gruszka	sportowcy
piotr jankowski	aktorzy
piotr ikonowicz	politycy
piotr małachowski	sportowcy
piotr kraśko	dziennikarze
piotr jarecki	duchowni
piotr kownacki	prawnicy
piotr kaliciński	lekarze
piotr kruszyński	prawnicy
piotr mucharski	dziennikarze
piotr pawłowski	aktorzy
piotr tomasik	sportowcy
piotr pytlakowski	dziennikarze
piotr waglowski	prawnicy
piotr świerczewski	sportowcy
piotr woźniak	politycy
priscilla chan	muzycy
piotr szumlewicz	dziennikarze
piotr zientarski	prawnicy
piotr uszok	politycy
piotr zaremba	dziennikarze
przemysław gintrowski	muzycy
radosław sikorski	politycy
rafał maćkowiak	aktorzy
przemysław tytoń	sportowcy
rafał markowski	duchowni
rahul gandhi	politycy
rafał zakrzewski	dziennikarze
rafał kalukin	dziennikarze
rafał dutkiewicz	politycy
renata dancewicz	aktorzy
rickard falkvinge	politycy
rihards kozlovskis	politycy
rafał grupiński	politycy
rino fisichella	duchowni
robert biedroń	politycy
robert bentley	sportowcy
robert schuman	politycy
robert fico	politycy
robert tyszkiewicz	politycy
robert lewandowski	sportowcy
roberto fiore	politycy
robert kowalski	aktorzy
robert gwiazdowski	prawnicy
robert kropiwnicki	prawnicy
roland jahn	dziennikarze
roman dmowski	politycy
roman kurkiewicz	dziennikarze
roman jasiakiewicz	prawnicy
roman nowosielski	prawnicy
romuald szeremietiew	politycy
roman polański	aktorzy
ronald lauder	politycy
ryszard jankowski	sportowcy
rudolf hess	politycy
ryszard bugaj	politycy
rudolf dassler	politycy
ryszard grobelny	politycy
ryszard legutko	politycy
sharon anderson	muzycy
ryszard olszewski	politycy
sebastian karpiel-bułecka	muzycy
ryszard milewski	sportowcy
serena williams	sportowcy
sarah burke	sportowcy
ryszard schnepf	politycy
ryszard nowak	politycy
sean penn	aktorzy
shirin ebadi	prawnicy
sharon stone	aktorzy
silvio berlusconi	politycy
spike lee	aktorzy
so­li­dar­no­ści	ame=
stanisław kowalczyk	politycy
stanisław kalemba	politycy
stanisław budzik	duchowni
stanisław dziwisz	duchowni
stanisław chmielewski	politycy
stanisław kwiatkowski	dziennikarze
stanisław gawłowski	politycy
stanisław gądecki	duchowni
stanisław laskowski	prawnicy
stanisław ligoń	malarze
stefan meller	politycy
stanisław nagy	duchowni
stefan bratkowski	dziennikarze
stanisław pięta	politycy
stanisław tym	aktorzy
stanisław rudnicki	prawnicy
stanisław żelichowski	politycy
stanisław wojciechowski	politycy
stanisław wziątek	politycy
stefan niesiołowski	politycy
stefan rowecki	dziennikarze
stefan starzyński	politycy
stefan wyszyński	duchowni
sławomir nitras	politycy
stefan żeromski	sportowcy
sławomir nowak	politycy
steve rosenberg	sportowcy
suthep thaugsuban	politycy
sławomir jastrzębowski	dziennikarze
steve warren	sportowcy
sławomir kłosowski	politycy
sławomir petelicki	prawnicy
sławomir ratajski	malarze
sławomir rybicki	politycy
sławomir sierakowski	dziennikarze
tadeusz kantor	malarze
tadeusz bronakowski	duchowni
sławomir skrzypek	politycy
tadeusz kondrusiewicz	duchowni
tadeusz jarmuziewicz	politycy
tadeusz gocłowski	duchowni
tadeusz cymański	politycy
tadeusz iwiński	politycy
tadeusz konwicki	dziennikarze
tadeusz mazowiecki	politycy
tadeusz ostrowski	lekarze
tadeusz pieronek	duchowni
tadeusz różewicz	poeci
tadeusz rydzyk	duchowni
tadeusz sławecki	politycy
thaksin shinawatra	politycy
teresa liszcz	politycy
ted cruz	politycy
tadeusz wrona	politycy
tadeusz wojciechowski	malarze
thomas berry	duchowni
thomas christopher collins	duchowni
theo walcott	sportowcy
tomasz arabski	dziennikarze
tomasz borkowski	aktorzy
tomasz garbowski	politycy
tomasz grzegorczyk	sportowcy
tomasz kołodziejczak	dziennikarze
tomasz latos	lekarze
tomasz głogowski	politycy
tomasz jamroziński	poeci
tomasz górski	politycy
tomasz lenz	politycy
tomasz machała	dziennikarze
tomasz lipiński	muzycy
tomasz szypuła	dziennikarze
tomasz zimoch	prawnicy
tomasz sekielski	dziennikarze
tomasz nałęcz	politycy
urszula nowakowska	prawnicy
urszula gacek	politycy
tytus chałubiński	lekarze
umberto guidoni	politycy
vin baker	sportowcy
vinny guadagnino	aktorzy
weronika marczuk	aktorzy
vlatko marković	sportowcy
wacław depo	duchowni
volen siderov	politycy
weronika rosati	aktorzy
waldemar świerzy	malarze
waldemar dziak	dziennikarze
waldemar pawlak	politycy
waldemar nowakowski	politycy
wiesław johann	prawnicy
wiesław lechowicz	duchowni
wiesław mering	duchowni
witold czarnecki	politycy
wiesław władyka	dziennikarze
wiesław szczepański	politycy
wilhelm sasnal	malarze
wiktor skworc	duchowni
witold modzelewski	prawnicy
wincenty witos	politycy
william morrow	lekarze
wisława szymborska	poeci
witold urbanowicz	malarze
wojciech bartelski	politycy
wojciech cejrowski	dziennikarze
wojciech hermeliński	prawnicy
wojciech jaruzelski	politycy
wojciech cieślak	prawnicy
wojciech kowalski	sportowcy
wojciech maziarski	dziennikarze
wojciech korfanty	politycy
wojciech kilar	muzycy
wojciech grabowski	malarze
wojciech czuchnowski	dziennikarze
wojciech olejniczak	politycy
wojciech orliński	dziennikarze
wojciech nowak	lekarze
wojciech szczęsny	sportowcy
wojciech polak	duchowni
władysław anders	politycy
władysław broniewski	poeci
wojciech żukowski	politycy
wojciech łuczak	sportowcy
wojciech ziemniak	politycy
władysław frasyniuk	politycy
władysław kosiniak-kamysz	lekarze
władysław kozakiewicz	sportowcy
włodzimierz cimoszewicz	politycy
władysław serafin	politycy
zbigniew bujak	politycy
zbigniew chlebowski	politycy
zbigniew boniek	sportowcy
zbigniew brzeziński	lekarze
włodzimierz karpiński	politycy
włodzimierz olszewski	prawnicy
xi jinping	politycy
zbigniew czerwiński	sportowcy
zbigniew girzyński	politycy
zbigniew romaszewski	politycy
zbigniew wassermann	politycy
zbigniew siemiątkowski	politycy
zbigniew rynasiewicz	politycy
zenon grocholewski	duchowni
ziemowit szczerek	dziennikarze
zbigniew ziobro	prawnicy
zdzisław peszkowski	duchowni
zbyszek zaborowski	politycy
zbigniew wodecki	muzycy
zofia korbońska	dziennikarze
zofia wilczyńska	aktorzy
zyta gilowska	politycy
łukasz piątek	sportowcy
štefan füle	politycy
łukasz wiśniewski	sportowcy
